concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,invalid_reason
# SYNTHETIC DEV VOCABULARY — schema-identical to computable_phenotype_library's
# concept.db so `--vocab /path/to/concept.db` is a drop-in replacement.
# 42869861 and 32858 are VERIFIED against the full Athena vocabulary (2026-08-03).
# The rest are UNVERIFIED and exist solely to exercise the routing paths.
42869861,Mini-Mental State Examination [MMSE],Observation,LOINC,Clinical Observation,S,72106-8,
3004410,Hemoglobin A1c/Hemoglobin.total in Blood,Measurement,LOINC,Lab Test,S,,
4182210,Dementia,Condition,SNOMED,Clinical Finding,S,,
715997,donepezil,Drug,RxNorm,Ingredient,S,,
436583,Fall,Observation,SNOMED,Clinical Finding,S,,
# Non-event domains — exercise the DOMAIN_NOT_ROUTED path:
9201,Inpatient Visit,Visit,Visit,Visit,S,,
8554,percent,Unit,UCUM,Unit,S,,
# Provenance type concepts — both VERIFIED against the real vocabulary:
32858,NLP,Type Concept,Type Concept,Type Concept,S,OMOP4976931,
32817,EHR,Type Concept,Type Concept,Type Concept,S,OMOP4976890,
